T_inlet,MFR_inlet,CH4Mean,CO2Mean,COMean,H2OMean,N2Mean,O2Mean,TMean,UMean,MFR_outlet,fuelEfficiency,EI_CH4,EI_CO2,EI_CO
700.0,0.04,0.0038103241666666665,0.19194054166666666,0.004067190833333333,0.08150294583333334,0.6769496666666667,0.041729375,895.8894166666666,0.2846071041666667,0.06687553720697836,0.06374363978823994,0.01906896819151329,0.9605765608403392,0.020354470968147572
700.0,0.05,0.0040428991666666666,0.19154670833333332,0.003920598333333333,0.08098627499999998,0.6769429166666667,0.042560445833333335,875.1622500000001,0.35541544333333336,0.0854981103432937,0.09335818709095445,0.02026412207726366,0.9600847612444822,0.019651116678254144
700.0,0.060000000000000005,0.004400430416666666,0.19150833333333334,0.003330908333333333,0.08018991249999997,0.6769344999999999,0.04363600416666667,852.0072083333334,0.4183865,0.10341296696762761,0.0823907374554923,0.02208611553439094,0.9611957866164007,0.016718097849208254
700.0,0.07,0.0048258275,0.19125866666666666,0.00276268875,0.07924484166666668,0.6769217916666666,0.044986099999999994,823.3054166666667,0.4853826166666667,0.12419122673121352,0.06931449885692231,0.024269026240228,0.9618374465320928,0.013893527227679127
700.0,0.08000000000000002,0.004758365,0.19153766666666666,0.0027040679166666667,0.07939714166666666,0.6769207500000001,0.044681725,827.2629583333332,0.5510951250000001,0.14033427602737064,0.06371715166669967,0.02391136994384963,0.9625003558677029,0.01358827418844738
725.0,0.04,0.0036298970833333333,0.19175508333333333,0.004497111666666667,0.08190615416666666,0.6769521666666666,0.041259795833333335,921.6836666666667,0.2915425791666667,0.06657329723849237,0.07899352030203066,0.01816019156843718,0.9593409861519173,0.02249882227964557
725.0,0.05,0.004204218333333333,0.19107404166666667,0.00394447,0.08062699166666668,0.6769377083333333,0.043212658333333334,880.9692083333332,0.36416373750000003,0.08702411396440271,0.09020542268492326,0.021103105721587755,0.9590975972805245,0.019799296997887742
725.0,0.060000000000000005,0.004487568333333333,0.19073887500000003,0.003675192083333333,0.07999865416666667,0.676928625,0.044171033333333325,859.1750833333332,0.43071402500000006,0.10555314585790955,0.07457674580953355,0.022561746784698904,0.9589608179964584,0.01847743521884273
725.0,0.07,0.004843139166666666,0.1907106666666667,0.0030825208333333334,0.07920667083333333,0.676920375,0.04523685416666667,839.4361250000001,0.508415375,0.1275637747182585,0.06461868119870007,0.024381940846066787,0.96009964474776,0.015518414406173235
725.0,0.08000000000000002,0.0050931037499999995,0.19061616666666664,0.00271357375,0.07865012916666665,0.6769144999999999,0.04601219583333333,822.5399166666667,0.5710539666666667,0.14625104024264962,0.05470035766620163,0.025667930380647158,0.960656357221436,0.013675712397916819
750.0,0.04,0.0038813254166666657,0.19084941666666666,0.004643328333333333,0.081347175,0.6769437500000001,0.04233497083333333,917.5357916666666,0.30325841249999996,0.06955644668745087,0.06892336558747836,0.019467553672125895,0.9572429166331181,0.023289529694756003
750.0,0.05,0.004197431666666667,0.19046275,0.004351259166666666,0.08064613333333333,0.67693325,0.043409237499999996,891.1455,0.37246537500000004,0.08797316081199413,0.08006905611129722,0.021091408861171463,0.9570442242037098,0.021864366935118708
750.0,0.060000000000000005,0.004431452916666666,0.19045854166666665,0.003952352916666667,0.08012503333333332,0.6769270416666666,0.044105925,877.7532916666667,0.44576831249999993,0.1069150469278776,0.07108773868951612,0.022286263325606064,0.957836919857661,0.019876816816733003
750.0,0.07,0.004814937083333333,0.19019224999999998,0.003462439166666667,0.07927057083333333,0.676919375,0.0453405,856.9553333333333,0.5192218291666667,0.12758695565304062,0.06289013030919532,0.024260322218112373,0.9582939898341246,0.017445687947763078
750.0,0.08000000000000002,0.005114289166666667,0.19000620833333334,0.0030652325,0.07860269166666667,0.6769140833333332,0.046297275,838.3419583333333,0.5878584583333335,0.1476902720956603,0.05181545514080732,0.0258055368904041,0.9587279988994836,0.015466464210112402
775.0,0.04,0.0035238645833333333,0.19095883333333333,0.005198272083333333,0.0821505625,0.6769431666666665,0.041224958333333325,946.1894583333332,0.313124225,0.06962452308783063,0.066463010333915,0.017647473283675122,0.9563196399403175,0.026032886776007413
775.0,0.05,0.003970035833333334,0.19037391666666664,0.004804065416666666,0.08115667916666666,0.6769338749999998,0.04276135,919.2649166666665,0.3835460416666668,0.0877987993535926,0.08527166823160715,0.019935100910693438,0.9559418098066559,0.024123089282650678
775.0,0.060000000000000005,0.004361121666666667,0.190072125,0.0043214704166666664,0.08028349166666668,0.6769267083333333,0.04403502083333333,898.577375,0.45757054166666666,0.10718208923548632,0.07302621311139368,0.021942229752656122,0.956315038904496,0.02174273134284794
775.0,0.07,0.004693130416666667,0.18980195833333333,0.0039235379166666666,0.07954422916666667,0.6769191250000001,0.045117887499999995,879.3507500000001,0.5330206666666667,0.12761169608010417,0.06197091100976637,0.023652670596046865,0.9565732891206383,0.0197740402833148
775.0,0.08000000000000002,0.0050396245833333325,0.189446125,0.0035495033333333335,0.07876872083333333,0.67691575,0.04628021666666666,859.6727916666666,0.6041276666666667,0.14797479022195364,0.05195170839034435,0.0254481184996593,0.9566282881953297,0.017923593305011035
800.0,0.04,0.00349532375,0.19059795833333334,0.005478332083333333,0.08221502083333333,0.6769422916666666,0.04127089166666666,963.1866249999999,0.32106201666666667,0.07011964882120003,0.06217532795474767,0.01751413278183428,0.9550354098662586,0.027450457351907053
800.0,0.05,0.003889615416666667,0.19001233333333334,0.005177845833333333,0.08133944583333332,0.6769305833333332,0.0426500125,934.9826666666665,0.3972440000000001,0.08938862008089356,0.08104976453260249,0.019537971820834398,0.9544531313738903,0.02600889680527536
